en,fa
anagoge,بزرگی معنوی
anagogy,بزرگی معنوی
anagram,جمله دیگر
Anahita,آناهیتا
anal,مجاور مقعد
analects,قطعات ادبی
analeptic,نیروبخش روانی
analog adder,افزیشگر قیاسی
analog channel,مجری قیاسی
analog computer,کامپیوتر قیاسی
analog data,داده قیاسی
analog signal,علامت قیاسی
analog transmission,مخابره قیاسی
analogical,قابل قیاس
analogous,قابل قیاس
analysis,تجزیه
analyst,تحلیل گر
analytical,تحلیلی
analytical engine,ماشین تحلیلی
analytics,فرگشاشناسی
analyzable,فرگشاپذیر
analyze,حلاجی کردن
analyze a problem,مسئله حلاجی کردن
analyzing,حلاجی
anarchist,هرج و مآرج طلب
anarchy,بی قانونی
anastomosis,بهم پیوستن
anastrophe,کلمات مقلوب
anatomical,تشریحی
anatomist,کالبد شناس
anatomy,کالبد شناسی
Anbar,عنبر
ancestor,نیا
ancestors,نیاکان
ancestral,نیاکانی
ancestry,اصل ونسب
anchor,لنگر انداختن
anchor person,گویندهاخبار
anchorage,لنگراندازی
anchovy,کولی
ancient,باستانی
"ancient.,باستان",
ancientness,قدمت
ancientry,عهد قدیم
ancients,گذشتگان
ancipital,دو دم
And,و
Andersen,آندرسن
Anderson,اندرسن
Andes,آند
Andre Loban,آندره لابان
androgynous,دوجنسه
androgyny,دوجنسی
anecdotage,مجموع حکیات
anecdotal,حکیتی
anecdote,ضرب المثل
anecdotes,فکاهیات
anemia,کم خونی
anemic,کم خون
anemograph,بادنگار
anemography,باد نگاری
anemology,باد شناسی
anemometer,بادسنج
anemometry,بادسنجی
anemone,لاله نعمان
anesthesia,هوش بری
anesthesiologist,متخصص بیهوشی
anesthesize,بیهوش کردن
anesthetic,بیحس کننده
anesthetize,بی حس کردن
angel,فرشته
angel of death,ملک الموت
angelic,فرشتهی
angels,ملائک
anger,به خشم آوردن
angered,خشمگین کردن
angiology,رگ شناسی
angle,زاویه
angled,زاویهدار
angles,زویا
anglicization,انگلیسی منشی
anglicize,انگلیسی ماب کردن
Anglo Saxon,انگلو ساکسن
anglophile,طرفدار انگلیسها
Anglo-saxon,آنگلو ساکسن
angora goat,مرغوز
angriness,غضبناکی
angry,خشمگینانه
angstrom,آنگستروم
anguish,تاب و تب
angular,گوشه دار
angularity,زاویه داری
angulate,گوشهی
angulation,زاویهداری
anihilated,معدوم
anihilation,معدومی
Animal,حیوان
animal driver,چارپادار
animal excrement,پشگل
animal for riding,مال
animal husbandry,دام پروری
animal instincts,غرائز حیوانی
animal louse,شپشه
animal magnetism,منتر
animal nature,حیوانیت
animalism,نفس پرستی
animalist,مصور حیوانات
animality,زندگی جانوران
animalize,حیوانی کردن
animal-like,جانوس مانند
animals,بهائم
animate,زندگی بخشیدن
animosity,دشمنی
anise,بادیان
aniseed,زنیان
Anita,آنیتا
Ankara,آنکارا
ankle,قوزک پا
anklet,خلخال
annals,وقیع سالیانه
annelid,زرفینی
annex,ضمیمه کردن
annexation,ضمیمه سازی
annexed,الحاقی
annihilate,کن فیکون کردن
annihilation,نابودی
annihilator,نابودکننده
anniversary,جشن یادگاری
annotation,حاشیهنویسی
announce,علنا اظهار داشتن
announcement,اعلام
announcer,اعلام کننده
announcer of good news,مبشر
annoy,مردم آزاری کردن
annoyance,ملا خاطر
annoyed,آزرده خاطر
annoying,اذیت کننده
annual,یک ساله
annual event,رویداد سال
annual mercury,سلمه
annual report,گزارش سالانه
annually,همه ساله
annulation,الغا
annulment,ابطال
annunciation,تبشیر
annunciatory,بشارتی
anode,قطب مثبت
anoint,تدهین کردن
anointed,مسح شدن
anointment,تدهین
anoit,روغن مالی کردن
anoiting,روغن مالی
anomalous,غیر متشابه
anomaly,غیر متعارف
anonym,نویسنده گمنام
anonyme,نویسنده گمنام
anonymity,گمنامی
anonymous,مجهولالهویه
another,شخص دیگر
another guess,قسمتی دیگر
another one,یکی دیگر
another time,دگر بار
Anotolia,آناتولی
anserine,مثل غاز
Anserm Research Institute,موسسه پژوهشی ینسرم
Ansiyeh,انسیه
answer,جواب دادن
answerable,پاسخ دار
answerback,پاسخ برگشتیرادیویی
answering,جوابده
ant,مورچه
ant hill,مورتپه
antagonism,اصل مخالف
antagonist,هم نبرد
antagonize,دشمنی کردن
antarctic,قطب جنوبی
Antarctic Ocean,اقیانوس منجمد جنوبی
antecedent,ماقبل
antedate,جلو انداختن
antenna,موج گیر
anteroom,کفش کن
anther,بساک
anthology,جنگ
anthracite,آنتراسیت
anthrax,سیاه زخم
anthropoda,بند پیان
anthropography,نژاد شناسی
anthropoid,شبه انسان
anthropologist,مردمشناس
anthropology,مردمشناسی
anthropomorphic,شبیه انسان
anti,ضد
anti American,ضد آمریکیی
anti drug,ضد مواد مخدر
anti fascist,ضد فاشیست
anti Israeli,ضد اسرییلی
anti Jewish,ضد یهودی
antiaircraft,ضد هوائی
antiaircraft gun,توپ ضد هویی
anti-aircraft missile,موشک ضد هویی
antibacterial,میکروب کش
anti-bacterial,ضد میکروب
antibiotic,آنتی بیوزیس
antibody,پادتن
anticatalyst,پاد فروگشا
anticavity,ضد پوسیدگی
antichrist,دجال
antichurch,ضد کلیسا
anticipate,پیشدستی کردن
anticipation,پیشدستی
anticipative,درحالت انتظار
anticlimactic,پاداوجی
anticlimax,پاداوج
anticlinal fold,چین تاقدیس
anticline,تاقدیس
anticoagulant,پادبند
anticyclone,واچرخه
anti-decay,ضد پوسیدگی
antideodorant,ضد بو
antidepressant,داروی مفرح
antidotal,پادزهری
antidote,پادگونه
antiemetic,ضد قی
antifreeze,ضد یخ
antigen,پادزا
anti-governmental,ضد دولتی
anti-inflammatory,آماس فرونشان
anti-jet fighter cannon,پدافند
antiknock,ضد ضربه
antimatter,پادماده
antimicrobial,ضدمیکربی
antimissile,پاد پرتابه
antimony,توتیی معدنی
antinational,ضد ملی
anti-Nazi,ضد نازی
antinomy,اظهار مخالف
antipatriotic,ضد ملی
antiphlogistic,ضد آماس
antiphlogistin,آماس فرونشان
antiphon,سرود برگردان
antiphony,سرود تهلیلی
antipodal,متقاطر
anti-progress,واپسگرا
antiquarian,وابسته بقدیم
antique,عتیقه
antiquity,دیرینگی
antiseptic,پلشت بر
antisocial,مخالف اجتماع
antistatic,ضد الکتریسیته
antiterrorist,ضد تروری
antithesis,پادگذاره
antithetic,پادگذارهی
antithetical,متضاد
antitoxic,ضدسم
antitoxin,پادزهرابه
antitype,نوع متقابل
antler,شاخ فرعی
antology,منتخبات
antonym,متضاد
anuria,قطع ادرار
anurous,فاقد دم
anus,سوراخ کون
Anush,انوش
Anusheh,انوشه
Anushiravan,انوشیروان
anvil,سندان
anxiety,احساس بیم
anxious,اندیشناک
anxiously,مشتاقانه
Any,هیچ
any more,دیگر
anybody,هیچکس
anyhow,بهر تقدیر
anyone,هرشخص معین
anyone that,هر شخص
anyone which,هر شخص
anyplace,هرجا
anything,هر چیزی
anyway,علیی حال
anyways,باری
anywhere,هرکجا
anywhy,بهرجهت
aorta,آورتا
aortic valve,دریچه آئورتی
apace,باسرعت زیاد
apanage,متعلفات
apart,مجزا
apart from,گذشته از
apart from that,گذشته از آن
apartfrom,سوا از
apartheid,آپارتید
apartment,آپارتمانی
apartment complex,مجموعه آپارتمانی
apathetic,بی احساس
ape,بوزینه
apetalous,بی گلبرگ
apex,ذروه
aphorism,کلمات قصار
aphorist,پند نویس
aphorize,پند گفتن
aphrodisiac,مبهیه
aphrodite,ونوس یونانی
apiary,کندوی عسل
aplologize,عذرخواهی کردن
apocarpous,جدابرچه
apocopated,مرخم
apocrypha,کتب کاذبه
apogean,ذروهی
apolitical,غیر سیاسی
apollyon,مالک دوزخ
apologetic,اعتذاری
apologia,پوزش ادبی
apologist,معذرت خواه
apologize,عذر خواهی کردن
apologizer,معذرت خواه
apologizing,پوزش خواهی
apology,معذرت خواهی
apoplexy,سکته ناقص
apostasy,عهدشکنی
apostate,از دین برگشته
apostle,فرستاده
apostles,اصحاب پیغمبر
apostolic delegate,سفیرکبیر پاپ
apostrophe,آپوستروف
apothegm,کلام موجز
apparatus,اسباب
apparent,وارث مسلم
apparently,علیالظاهر
apparitor,مامور اجراء
appeal,استیناف
appeallee,پژوهش خوانده
appealling,پژوهش خواهی
appear,ظاهر شدن
appearance,پک و پوز
appease,دلنوازی کردن
appeasement,دلجویی
appeasing,دلجویانه
appelate,استیناف دادن
appellation,وجه تسمیه
appellee,مستانف علیه
append,پیوست کردن
appendages,مضافات
appendicitis,آپاندیس
appendix,آپاندیس
appertain,مربوط بودن
appertenances,لواحق
appetite,اشتها
appetitive,مشهی
appetizer,اشتهاآور
appetizing,اشتها آور
applaud,تحسین کردن
applauder,کف زننده
applaudingly,هلهله کنان
applause,هلهله کردن
apple,مردمک چشم
apple juice,آب سیب
apple tree,درخت سیب
appliance,اسباب
applicability,کاربست پذیری
applicable,کاربست پذیر
applicant,درخواستگر
application,تقاضا نامه
application oriented,کاربرد گرا
application package,بسته کاربردی
application program,برنامه کاربردی
applicative,اعمال کردنی
applicatory,قابل اطلاق
applied mathematics,ریاضیات عملی
applier,اعمال کننده
apply,مصادق پیدا کردن
apply a solution,چاره سازی کردن
apply bronze powder,اکیل زدن
apply depilatory,نوره کشیدن
apply for a job,درخاست شغل کردن
apply generally,اطلاق کردن
apply ointment,مرهم گذاشتن
apply peacefulness,مسالمت بکار بردن
apply to,صدق کردن
applying,اعمال
applying a solution,چاره سازی
appoint,برقرار داشتن
appointed,انتصابی
appointment,وعده ملاقات
apportion,حصه کردن
appraisal,ارزشگزاری
appraise,تعیین قیمت کردن
appraiser,ارزیاب
appral to the court,پژوهش خواستن
appreciable,قابل ارزیابی
appreciate,قدردانی کردن
appreciation,قدر دانی
apprehension,تشویش خاطر
apprehensive,درک کننده
apprehensively,بانگرانی
apprentice,شاگرد
apprenticeship,شاگردی
approach,مراجعهکردن
approachability,قابلیت تقرب
appropriate,متناسب
appropriateness,تناسب
appropriative,قابل ضبط
approvable,قابل تصویب
approval,صوابدید
approve,به تصویب رساندن
approve of,پسند کردن
approved,مستحسن
approximate,تقریب زدن
approximately,بطور تقریب
approximation,تقریب
Apricot,زردآلو
April,آوریل
apron,پیش دامن
aptitude,میل ذاتی
Aqaba,عقبه
aqua fortis,تیزاب
aqua regia,تیزاب سلطانی
aquafortis,اسید نیتریک
aquamarine,کبود فام
aquarium,نمیش میدهند
aquatic,آبزی
aquiferous,آبخیز
aquiring,اقتباس
Ara,آرا
Arab,عربی
Arabian,عربی
Arabian jasmine,رازقی
Arabian Peninsula,جزیره العرب
arabic,زبان تازی
Arabicized,معرب
Arabize,معرب کردن
arable,زمین مزروعی
arable land,ملک مزروعی
Arabs,اعراب
arachnida,عنکبوتیان
arachnoid,عنکبوتیه
Arad,آراد
Arafat,عرفات
Arak,اراک
Aram,آرام
Arash,آرش
Araxes,ارس
arbitataor,مصدق
arbitrament,اختیار مطلق
arbitrarily,بطور قراردادی
arbitrary,مستبدانه
arbitrary decision,تصمیم مستبدانه
arbitration,داوری
arbitrator,فیصل دهنده
arboraceous,درخت نشین
arboreal,دارزی
arbored,درخت دار
arborescent,شاخه مانند
arboriculture,درختکاری
arborization,داروشی
arborize,داروش کردن
arbour,آلاچیق
arc,کمان
arc boutant,ستون قوسی
arcade,تیمچه
arch,تاق
arch of the eyebrow,خم ابرو
archaeological,باستانشناسی
archaeologist,باستانشناس
archaeology,باستانشناسی
archangel,فرشته بزرگ
archbishop,اسقف اعظم
arched,طاقدار
archetypal,نمونه اولیه
archetype,نمونه اولیه
archetypical,نمونه اولیه
archimagus,موبد
Archimedes,ارشمیدس
archipelago,دریی پر جزیره
architect,معمار
architecture,معماری
archival,بیگانی شدنی
archive,بیگانی کردن
archives,بیگانی
archivist,بیگان
archon,افسر سرپرست
archway,دروازه طاقدار
arctic,شمالگان
Arctic Ocean,اقیانوس منجمد شمالی
Ardalan,اردلان
Ardavan,اردوان
Ardeshir,اردشیر
arduous,صعب الصعود
Are,هستند
area,منطقه
areas,مناطق
Aref,عارف
arena,جولانگاه
arenicolous,ماسه زی
Arezu,آرزو
Argentina,آرژانتین
Argentinian,آرژانتینی
argentous,نقره دار
Arghavan,ارغوان
argillaceous,گل مانند
argol,درد شراب
argosy,ناوگان تجارتی
argot,لهجه ولگردان
arguable,مستدل
argue,مشاجره داشتن
argument,بحث وجدل
