x,en,es,de,fa,ar
Accusation,Accusation,Acusación,Anklage,اتهام,اتهام
Accusative,Accusative,Acusativo,Akkusativ,مفعولی,"المفعول به"
Accusatory,Accusatory,Acusatorio,Anklagend,"اتهام آمیز",اتهامي
Accuse,Accuse,Acusar,Beschuldigen,"متهم کردن",اتهم
Accused,Accused,Acusado,Beschuldigt,متهم,المتهم
Accustom,Accustom,Acostumbrar,Gewöhnen,"عادت دادن",اعتاد
Accustomed,Accustomed,Acostumbrado,Gewohnt,"عادت کرده",معتاد
Ace,Ace,As,As,آس,بارِع
Acellular,Acellular,Acelular,Azellulär,"غیر سلولی","لا خلوي"
Acentric,Acentric,Acéntrico,Azentrisch,غیرمرکزی,لامركزي
Acerate,Acerate,Acerado,Acerat,اسید,تآكل
Acerbity,Acerbity,Acerbidad,Schärfe,تندخویی,الحدة
Acetate,Acetate,Acetato,Acetat,استات,خلات
Acetic,Acetic,Acético,Essigsäure,استیک,"حمض الخليك"
"Acetic Acid","Acetic Acid","Ácido Acético",Essigsäure,"اسید استیک","حمض الأسيتيك"
Achaemenian,Achaemenian,Aqueménida,Achämeniden,هخامنشی,الأخمينيون
Acheron,Acheron,Aqueronte,Acheron,آکرون,أكيرون
Achievable,Achievable,Realizable,Erreichbar,"قابل دستیابی","قابلة للتحقيق"
Achieve,Achieve,Lograr,Erreichen,"دستیابی به",يحقق
Achievement,Achievement,Logro,Leistung,دستاورد,إنجاز
"Achilles Heel","Achilles Heel","Talón De Aquiles",Achillesferse,"پاشنه آشیل","كعب أخيل"
Acid,Acid,Ácido,Säure,اسید,حامض
"Acid Test","Acid Test","Prueba De Fuego",Härtetest,"آزمایش اسید","اختبار الحمض"
Acidic,Acidic,Ácido,Sauer,اسیدی,حمضي
Acidification,Acidification,Acidificación,Versauerung,"اسیدی شدن",تحمض
Acidifier,Acidifier,Acidulante,Säuerungsmittel,اسیدساز,مُحمِّض
Acidimeter,Acidimeter,Acidímetro,Säuremessgerät,اسیدسنج,"مقياس الحموضة"
Acidity,Acidity,Acidez,Säure,اسیدیته,حموضة
Acidophile,Acidophile,Acidófilo,Acidophil,"اسید دوست","محب للحمض"
Acidulent,Acidulent,Acidulante,Säuerlich,اسیدی,حمضي
Aciform,Aciform,Aciform,Säureförmig,اسیدگونه,حمضي
Acknowledge,Acknowledge,Reconocer,Anerkennen,"تصدیق کردن",يُقرّ
Acknowledgement,Acknowledgement,Reconocimiento,Anerkennung,اذعان,إقرار
Acknowledgment,Acknowledgment,Reconocimiento,Anerkennung,"تقدیر و تشکر",الإقرار
Acme,Acme,Cumbre,Gipfel,آکنه,ذروة
Acne,Acne,Acné,Akne,آکنه,"حَبُّ الشّبَاب"
Acock,Acock,"Con Aire Provocador","Ein Hahn",خروس,ديوك
Acomia,Acomia,Acomia,Acomia,آکومیا,أكوميا
Acorn,Acorn,Bellota,Eichel,بلوط,بلوط
Acoumeter,Acoumeter,Acuómetro,Acometer,اکومتر,"مقياس المسافة"
Acoustic,Acoustic,Acústico,Akustisch,آکوستیک,صوتي
Acoustician,Acoustician,Acústico,Akustiker,"متخصص آکوستیک","فني صوتيات"
Acoustics,Acoustics,Acústica,Akustik,آکوستیک,الصوتيات
Acquaintance,Acquaintance,Conocido,Bekanntschaft,آشنایی,معرفة
Acquainted,Acquainted,Familiarizado,Bekannt,آشنا,تعرف
Acquiesce,Acquiesce,Ceder,Zustimmen,"رضایت دادن",يرضخ
Acquirable,Acquirable,Adquirible,Erwerbbar,"قابل اکتساب","قابلة للاكتساب"
Acquire,Acquire,Adquirir,Erwerben,"کسب کردن",يكتسب
"Acquire Knowledge","Acquire Knowledge","Adquirir Conocimientos","Wissen Erwerben","کسب دانش","اكتساب المعرفة"
Acquired,Acquired,Adquirido,Erworben,اکتسابی,مكتسب
"Acquired Immunity","Acquired Immunity","Inmunidad Adquirida","Erworbene Immunität","مصونیت اکتسابی","المناعة المكتسبة"
Acquirement,Acquirement,Adquisición,Aneignung,اکتساب,اكتساب
Acquirer,Acquirer,Adquiridor,Erwerber,خریدار,المستحوذ
Acquisition,Acquisition,Adquisición,Erwerb,اکتساب,اكتساب
Acquisitive,Acquisitive,Codicioso,Erwerbstätig,اکتسابی,استحواذي
Acquit,Acquit,Absolver,Freisprechen,"تبرئه کردن",تبرئة
Acquittal,Acquittal,Absolución,Freispruch,تبرئه,تبرئة
Acquittance,Acquittance,Pago,Freispruch,تبرئه,تبرئة
Acrid,Acrid,Acre,Scharf,"تند و تیز",لاذع
Acridity,Acridity,Acritud,Schärfe,خشکی,الحدة
Acrobat,Acrobat,Acróbata,Akrobat,آکروبات,بهلوان
Acrography,Acrography,Acrografía,Akrographie,آکروگرافی,"علم رسم الخرائط"
Acronym,Acronym,Acrónimo,Akronym,مخفف,اختصار
Across,Across,"Al Otro Lado De",Über,"در سراسر",عير
"Across From","Across From","Frente A",Gegenüber,"در سراسر","على الجانب الآخر"
Acrostic,Acrostic,Acróstico,Akrostichon,آکروستیک,أبجدية
Act,Act,Acto,Akt,"عمل کردن",يمثل
"Act As Mediator","Act As Mediator","Actuar Como Mediador","Als Vermittler Fungieren","به عنوان واسطه عمل کنید","العمل كوسيط"
"Act Carelessly","Act Carelessly","Actuar Descuidadamente","Unvorsichtig Handeln","بی ملاحظه عمل کردن","التصرف بلا مبالاة"
"Act Cautiously","Act Cautiously","Actuar Con Cautela","Vorsichtig Handeln","با احتیاط عمل کنید","التصرف بحذر"
"Act Conservatively","Act Conservatively","Actuar De Forma Conservadora","Konservativ Handeln","محافظه کارانه عمل کنید","التصرف بشكل متحفظ"
"Act Coyly","Act Coyly","Actuar Con Timidez","Sich Zieren","با عشوه عمل کردن","التصرف بخجل"
"Act Crazy","Act Crazy","Actuar Como Un Loco","Benimm Dich Verrückt","دیوانه وار عمل کن","تصرف بجنون"
"Act Deceitfully","Act Deceitfully","Actuar Engañosamente","Betrügerisch Handeln","فریبکارانه عمل کردن","التصرف بخداع"
"Act Dishonestly","Act Dishonestly","Actuar Deshonestamente","Unehrlich Handeln","عمل غیر صادقانه","التصرف بشكل غير نزيه"
"Act Foolishly","Act Foolishly","Actuar Tontamente","Dumm Handeln","احمقانه عمل کردن","تصرف بغباء"
"Act Gently","Act Gently","Actuar Con Suavidad","Vorsichtig Vorgehen","با ملایمت عمل کنید","التصرف بلطف"
"Act Harshly","Act Harshly","Actuar Con Dureza","Hart Handeln","خشن عمل کردن","التصرف بقسوة"
"Act Imprudently","Act Imprudently","Actuar Imprudentemente","Unvorsichtig Handeln","بی ملاحظه عمل کردن","التصرف بتهور"
"Act In A Dastardly Way","Act In A Dastardly Way","Actuar De Manera Cobarde","Sich Heimtückisch Verhalten","به طرز ناجوانمردانه ای عمل کردن","التصرف بطريقة خبيثة"
"Act Inexpertly","Act Inexpertly","Actuar Inexpertamente","Unfachmännisch Handeln","غیرمتخصصانه عمل کردن","التصرف بشكل غير ماهر"
"Act Lewdly","Act Lewdly","Actuar Lascivamente","Sich Unanständig Verhalten","عمل شهوانی انجام دادن","التصرف بشكل فاحش"
"Act Miserly","Act Miserly","Actuar Con Avaricia","Geizig Handeln","خسیسانه عمل کردن","تصرف ببخل"
"Act Out","Act Out",Representar,Ausleben,"عمل کردن",تمثيل
"Act Stupidly","Act Stupidly","Actuar Estúpidamente","Dumm Handeln","احمقانه عمل کردن","تصرف بغباء"
Acting,Acting,Interino,Schauspielkunst,بازیگری,التمثيل
"Acting Crazy","Acting Crazy","Actuando Como Un Loco","Sich Verrückt Benehmen","دیوانه وار عمل کردن","التصرف بجنون"
Actinometer,Actinometer,Actinómetro,Aktinometer,آکتینومتر,"مقياس النشاط"
Action,Action,Acción,Aktion,عمل,فعل
"Action And Reaction","Action And Reaction","Acción Y Reacción","Wirkung Und Gegenwirkung","کنش و واکنش","الفعل ورد الفعل"
Actions,Actions,Comportamiento,Aktionen,اقدامات,الأفعال
Activation,Activation,Activación,Aktivierung,"فعال سازی",التنشيط
Active,Active,Activo,Aktiv,فعال,نشيط
"Active adding language","Active adding language","Añadiendo idioma","Aktives Hinzufügen einer Sprache","فعال کردن افزودن زبان","إضافة اللغة النشطة"
"Active Agent","Active Agent","Agente Activo",Wirkstoff,"عامل فعال","العامل النشط"
"Active Element","Active Element","Elemento Activo","Aktives Element","عنصر فعال","العنصر النشط"
Actively,Actively,Activamente,Aktiv,"به طور فعال",بنشاط
Activity,Activity,Actividad,Aktivität,فعالیت,نشاط
Actor,Actor,Actor,Schauspieler,بازیگر,ممثل
Actress,Actress,Actriz,Darstellerin,بازیگر,ممثلة
Acts,Acts,Hechos,Handlungen,اعمال,أعمال
Actual,Actual,Actual,Tatsächlich,واقعی,فِعلي
"Actual Address","Actual Address","Dirección Real","Tatsächliche Adresse","آدرس واقعی","العنوان الفعلي"
"Actual Argument","Actual Argument","Argumento Real","Tatsächliches Argument","استدلال واقعی","الحجة الفعلية"
"Actual Key","Actual Key","Clave Real","Tatsächlicher Schlüssel","کلید واقعی","المفتاح الفعلي"
Actuality,Actuality,Realidad,Wirklichkeit,واقعیت,الواقع
Actualize,Actualize,Actualizar,Verwirklichen,"بالفعل کردن",تحقيق
Actually,Actually,"De Hecho","Genau Genommen","در واقع","في الحقيقة"
Actuary,Actuary,Actuario,Aktuar,"بیمه گر","خبير اكتواري"
Actuation,Actuation,Accionamiento,Betätigung,تحریک,التشغيل
Actuator,Actuator,Solenoide,Stellantrieb,محرک,مشغل
Acuminate,Acuminate,Puntiagudo,Zugespitzt,"نوک تیز","مستدق الطرف"
Acumination,Acumination,Acuminación,Zuspitzung,تیزبینی,الحدة
Acupunctuate,Acupunctuate,Acupuntura,Akupunktieren,"طب سوزنی","الوخز بالإبر"
Acupuncture,Acupuncture,Acupuntura,Akupunktur,"طب سوزنی","الوخز بالإبر"
Acute,Acute,Agudo,Akut,حاد,بَصِير
"Acute Angle","Acute Angle","Ángulo Agudo","Spitzer Winkel","زاویه حاده","زاوية حادة"
Acutely,Acutely,Extremadamente,Akut,"به طور حاد","بشكل حاد"
Acuteness,Acuteness,Agudeza,Schärfe,"حاد بودن",حدة
Acyclic,Acyclic,Acíclico,Azyklisch,"غیر حلقوی","غير دوري"
Ad,Ad,Anuncio,Anzeige,آگهی,إعلان
"Ad Hoc","Ad Hoc","A Propósito","Ad Hoc",موردی,مخصصة
Adam,Adam,Adán,Adam,آدم,آدم
"Adam'S Apple","Adam'S Apple",,,جوزک,
Adamant,Adamant,Firme,Unnachgiebig,سرسخت,عنيد
"Adams Apple'","Adams Apple'","Nuez De Adán'",Adamsapfel',"سیب آدامز","تفاحة آدمز"
Adapt,Adapt,Adaptar,Anpassen,"سازگار شدن",يتكيف
Adaptability,Adaptability,Adaptabilidad,Anpassungsfähigkeit,سازگاری,"القدرة على التكيف"
Adaptable,Adaptable,Adaptable,Anpassungsfähig,"قابل تطبیق","قابلة للتكيف"
Adaptation,Adaptation,Adaptación,Anpassung,انطباق,التكيف
Adapted,Adapted,Adaptado,Angepasst,"اقتباس شده",مُكيّف
Adapter,Adapter,Adaptador,Adapter,آداپتور,محول
Adaption,Adaption,Adaptación,Anpassung,سازگاری,التكيف
Adaptive,Adaptive,Adaptado,Adaptiv,تطبیقی,التكيف
Adaptometer,Adaptometer,Adaptómetro,Adaptometer,آداپتومتر,"مقياس التكيف"
Adaptometry,Adaptometry,Adaptometría,Adaptometrie,آداپتومتری,"القياس التكيفي"
Adaptor,Adaptor,Adaptador,Adapter,آداپتور,محول
Adbivalent,Adbivalent,Abivalente,Adbivalent,دوپهلو,"ثنائي القيمة"
Add,Add,Agregar,Hinzufügen,"اضافه کردن",يضيف
"Add another item <0><1>","Add another item <0><1>","Añadir otro elemento <0><1>","Weiteren Artikel hinzufügen <0><1>","یک مورد دیگر اضافه کنید <0><1>","إضافة عنصر آخر <0><1>"
"Add Fuel To Fire","Add Fuel To Fire","Añadir Leña Al Fuego","Öl Ins Feuer Gießen","به آتش سوخت اضافه کنید","إضافة الوقود إلى النار"
"Add Fuel To The Fire","Add Fuel To The Fire","Echar Leña Al Fuego","Öl Ins Feuer Gießen","به آتش سوخت اضافه کنید","زاد الطين بلة"
"Add Up","Add Up",Sumar,Addieren,"جمع کردن",اجمع
"Add your first item <0><1>","Add your first item <0><1>","Añade tu primer artículo <0><1>","Ersten Eintrag hinzufügen <0><1>","اضافه کردن اولین آیتم شما <0><1>","إضافة العنصر الأول <0><1>"
Addable,Addable,Agregable,Hinzufügbar,"قابل افزایش","قابلة للإضافة"
Added,Added,Agregado,Hinzugefügt,"اضافه شد","تمت الإضافة"
Adder,Adder,Sumador,Addierer,"جمع کننده",أفعى
Addict,Addict,Adicto,Süchtiger,معتاد,مدمن
Addicted,Addicted,Adicto,Süchtig,معتاد,مدمن
Addiction,Addiction,Adicción,Sucht,اعتیاد,مدمن
"Adding Machine","Adding Machine","Máquina Calculadora",Rechenmaschine,"دستگاه اضافه کردن","آلة الجمع"
"Adding Up","Adding Up",Sumando,Zusammenzählen,"جمع کردن","إضافة ما يصل"
Addition,Addition,Suma,Zusatz,"علاوه بر این",إضافة
"Addition Table","Addition Table","Tabla De Suma",Additionstabelle,"جدول جمع","جدول الجمع"
Additional,Additional,Adicional,Zusätzlich,اضافی,إضافي
Additions,Additions,Adiciones,Ergänzungen,اضافات,إضافات
Additive,Additive,Aditivo,Zusatzstoff,افزودنی,"مادة مضافة"
"Additive Inverse","Additive Inverse","Inverso Aditivo","Additive Inverse","معکوس افزایشی","المعكوس الجمعي"
Addle,Addle,Podrido,Verderben,ادل,دمن
Address,Address,DIRECCIÓN,Adresse,آدرس,عنوان
"Address Counter","Address Counter","Contador De Direcciones",Adresszähler,"شمارنده آدرس","عداد العناوين"
"Address Format","Address Format","Formato De Dirección",Adressformat,"قالب آدرس","تنسيق العنوان"
"Address Of Welcome","Address Of Welcome","Dirección De Bienvenida",Begrüßungsansprache,"آدرس خوشامدگویی","خطاب الترحيب"
"Address Part","Address Part","Parte De La Dirección",Adressteil,"بخش آدرس","جزء العنوان"
"Address Register","Address Register","Registro De Direcciones",Adressregister,"ثبت آدرس","سجل العناوين"
"Address Variable","Address Variable","Variable De Dirección",Adressvariable,"متغیر آدرس","متغير العنوان"
Addressability,Addressability,Direccionabilidad,Adressierbarkeit,"آدرس پذیری","قابلية التوجيه"
Addressable,Addressable,Direccionable,Adressierbar,"قابل آدرس دهی","قابلة للعنونة"
Addressee,Addressee,Destinatario,Adressat,مخاطب,"المرسل إليه"
Addresser,Addresser,Direccionador,Absender,"آدرس دهنده",المخاطب
Addressing,Addressing,Direccionamiento,Adressierung,"آدرس دهی",معالجة
Adducement,Adducement,Aducción,Vorbringen,استقراء,تقديم
Adductor,Adductor,Aductor,Adduktor,"جمع کننده","العضلة المقربة"
Adduse,Adduse,Añadir,Adduse,"اضافه کردن",أزعج
Adel,Adel,Adel,Adel,عادل,عادل
Adeleh,Adeleh,Adeleh,Adeleh,عادله,عادلة
Adept,Adept,Adepto,Geschickt,ماهر,ماهر
Adeptly,Adeptly,Expertamente,Geschickt,"به طور ماهرانه ای",بمهارة
Adequate,Adequate,Adecuado,Angemessen,کافی,مناسب
Adequateness,Adequateness,Adecuación,Angemessenheit,کفایت,الكفاية
Adhere,Adhere,Adherirse,Haften,"پایبند بودن",يتمسك
Adherence,Adherence,Adherencia,Einhaltung,پایبندی,الالتزام
Adhesion,Adhesion,Adhesión,Haftung,چسبندگی,التصاق
Adhesive,Adhesive,Adhesivo,Klebstoff,چسب,"مادة لاصقة"
Adhesiveness,Adhesiveness,Viscosidad,Haftfähigkeit,چسبندگی,الالتصاق
Adi,Adi,Adi,Adi,آدی,عدي
Adinterim,Adinterim,Interino,Adinterim,آدینتریم,مؤقت
"Adipose Tissue","Adipose Tissue","Tejido Adiposo",Fettgewebe,"بافت چربی","الأنسجة الدهنية"
Adjacence,Adjacence,Adyacencia,Nachbarschaft,مجاورت,مجاورة
Adjacent,Adjacent,Adyacente,Benachbart,مجاور,مجاور
"Adjacent Angles","Adjacent Angles","Ángulos Adyacentes","Benachbarte Winkel","زاویه های مجاور","الزوايا المتجاورة"
Adjectival,Adjectival,Adjetival,Adjektivisch,صفتی,صفة
Adjective,Adjective,Adjetivo,Adjektiv,صفت,صفة
Adjoining,Adjoining,Contiguo,Angrenzend,مجاور,مجاور
Adjudicate,Adjudicate,Juzgar,Entscheiden,"قضاوت کردن",الحكم
Adjudication,Adjudication,Adjudicación,Entscheidung,داوری,التحكيم
Adjunct,Adjunct,Adjunto,Zusatz,الحاقی,مساعد
Adjunction,Adjunction,Adición,Zusatz,"محل اتصال",ملحق
Adjuration,Adjuration,Adjuración,Beschwörung,"سوگند وفاداری",استحلاف
Adjust,Adjust,Ajustar,Anpassen,"تنظیم کردن",يُعدِّل
"Adjust With","Adjust With","Ajustar Con","Einstellen Mit","تنظیم با","التكيف مع"
Adjustable,Adjustable,Ajustable,Einstellbar,"قابل تنظیم","قابل للتعديل"
"Adjustable Wrench","Adjustable Wrench","Llave Ajustable","Verstellbarer Schraubenschlüssel","آچار قابل تنظیم","مفتاح قابل للتعديل"
Adjuster,Adjuster,Ajustador,Einsteller,"تنظیم کننده",المُقيِّم
Adjusting,Adjusting,Ajustando,Einstellen,تنظیم,تعديل
Adjustment,Adjustment,Ajuste,Einstellung,تنظیم,تعديل
Adjutant,Adjutant,Ayudante,Adjutant,آجودان,مساعد
Adjuvant,Adjuvant,Auxiliar,Adjuvans,کمکی,"مادة مساعدة"
Adlib,Adlib,Improvisar,Improvisiert,ادلب,ارتجال
